trial,state,value,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha
0,COMPLETE,0.5303832474930374,3,1600,0.06813099824138592,7,59,0.9162213204002109,0.5274034664069657,0.007151383480402496,5.079849520995651e-07
1,COMPLETE,0.5238741801888425,6,1300,0.09054594344647797,18,33,0.7962072844310213,0.42787024763199866,0.7158714383119805,3.855227306468056e-07
2,COMPLETE,0.5881577014155567,4,500,0.031065126086242026,7,55,0.6293899908000085,0.7975133706123891,0.029155533757373397,0.0006873346920856936
3,COMPLETE,0.5604734171764337,4,500,0.010302587393796307,7,23,0.6943386448447411,0.5628094190643376,7.838134236608707,2.0805271744540534e-05
4,COMPLETE,0.5358675115317573,7,300,0.10124839170683374,47,45,0.8856351733429728,0.44442679104045424,0.04835258599682954,1.1959185386907425e-07
5,COMPLETE,0.5287701093174713,-1,2300,0.028542147308832165,13,44,0.8803925243084487,0.7367663185416977,4.195190175255903,0.0003915684153351892
6,PRUNED,0.591205479788856,7,2300,0.012541547022380126,30,47,0.6143990827458112,0.44618794589727584,0.02298970433527325,3.158813814759155e-07
7,COMPLETE,0.5178601208265811,-1,2100,0.13632076811780444,25,11,0.6139675812709708,0.6562646731757538,6.979540765301023,1.0131668534197416
8,COMPLETE,0.53392343083957,8,1400,0.06687265276473395,27,59,0.9812236474710556,0.5510693774952184,0.21704801275666116,6.287502701306918e-06
9,COMPLETE,0.510654196787509,8,600,0.030416041299946003,63,18,0.8360677737029393,0.8569717691972305,0.013081323658598947,0.05931466771169788
10,PRUNED,0.5942191545052369,8,900,0.005141161689667175,61,6,0.5193625999805914,0.9788194588851228,0.001170095127026568,6.422747031120154
11,COMPLETE,0.5195373596568194,-1,1900,0.16376229504588932,42,11,0.7409481648316648,0.8716448625177555,31.631248486763358,0.44411365237381617
12,PRUNED,0.5679698115480976,5,1000,0.0197027766883888,23,18,0.5271728788925418,0.6628399116503247,0.3861927813328524,0.051668030906657676
13,PRUNED,0.5259665764605786,10,1900,0.19410725866993564,63,25,0.8079088229913173,0.8962579519190287,2.2667735370964253,0.02376287165573294
14,PRUNED,0.5524140211379598,-1,2500,0.04353542121417287,41,14,0.6446926911519497,0.6668858550401968,38.876914068435774,4.5475498562931715
15,PRUNED,0.5626208546098334,8,1000,0.018223635218679916,53,30,0.8034060745027055,0.779590747337984,0.0027504422931558816,0.012947517659582833
16,COMPLETE,0.4983521407762096,5,1700,0.06094081339180363,15,5,0.571344938997578,0.9927779632219429,0.09235461274876476,0.4639709733971644
